HHID_panel,year,income,DSR,loanamount,DIR,caste,assets,jatis,DAR,ISR,std_assets,std_income,std_DSR,std_DAR,std_loanamount,std_ISR,std_DIR
ELA18,2016,66.025314,1231.7869,36.700001,.55584741,Dalits,97.40506,SC,37.677715,5.6077456,-.63227904,-.30884823,-.13441606,-.11689087,-.58848423,-.09563724,-.17782275
ELA18,2020,106.93478,2383.7974,42,.39276278,Dalits,91.195656,SC,46.054825,6.7878656,-.64991927,.11850078,-.11038291,-.092238627,-.55924517,-.091608159,-.18724976
ELA19,2010,50,925.80005,6,.12,Dalits,113,SC,5.3097343,.65799999,-.58797556,-.47625211,-.14079954,-.21214369,-.75785023,-.11253633,-.20301664
ELA19,2016,63.79747,14.880952,254.10001,3.9829166,Dalits,365.6962,SC,69.48391,.14880952,.12990677,-.33212078,-.15980306,-.023291284,.61086982,-.11427478,.020276794
ELA19,2020,80.923912,1927.1168,122.4,1.512532,Dalits,241.19565,SC,50.747185,0,-.2237857,-.15321429,-.11991014,-.078429908,-.11569381,-.11478283,-.12252221
ELA2,2010,172,2621.6858,85,.49418604,Middle,260,Vanniyar,32.692307,9.9377909,-.17036459,.79818606,-.1054201,-.13156198,-.32202244,-.080853894,-.18138705
ELA2,2016,289.3671,534.04785,552.5,1.9093394,Middle,589.24048,Vanniyar,93.764778,3.0621173,.76497167,2.0242279,-.14897224,.048162699,2.2570853,-.10432836,-.099585012
ELA2,2020,168.20653,1035.3781,429.39999,2.552814,Middle,858.69568,Vanniyar,50.006073,5.1123524,1.5304644,.75855863,-.13851352,-.080610856,1.5779661,-.097328581,-.062389378
ELA20,2010,70.800003,1813.5884,68,.96045196,Dalits,202,SC,33.663364,15.311025,-.33513626,-.25897083,-.12227856,-.12870434,-.41580817,-.062508956,-.15443484
ELA20,2016,33.544304,16133.84,145.5,4.3375473,Dalits,212.02531,SC,68.623886,59.688324,-.30665544,-.64815187,.17646942,-.02582217,.011744448,.089001067,.040775996
ELA20,2020,7.9891305,64512.156,174.39999,21.829659,Dalits,265.32608,SC,65.730438,424.89203,-.15523377,-.91510665,1.1857342,-.034337036,.17118016,1.3358552,1.0518963
ELA21,2010,62.5,1746.88,74.5,1.192,Middle,81,Vanniyar,91.975311,16.6688,-.67888403,-.34567443,-.12367023,.04289664,-.37994891,-.057873327,-.14105037
ELA21,2016,110.12658,2528.7166,127.2,1.1550345,Middle,263.35443,Vanniyar,48.299927,1.7669439,-.16083501,.15184304,-.10735961,-.085631721,-.089213155,-.10875025,-.14318714
ELA21,2020,47.826088,0,13,.27181819,Middle,185.16306,Vanniyar,7.0208392,0,-.38296819,-.49896127,-.1601135,-.20710823,-.71923256,-.11478283,-.19424088
ELA22,2010,74.599998,6011.5952,81.5,1.0924933,Dalits,84,SC,97.023811,9.8478556,-.67036134,-.21927525,-.034700066,.057753414,-.34133124,-.08116094,-.14680229
ELA22,2016,170.63292,364.42999,107.6,.63059342,Dalits,158.79747,SC,67.759262,3.6443,-.45786992,.78390527,-.15251079,-.028366594,-.19734257,-.10234071,-.17350212
ELA22,2020,29.565218,28276.785,241.8,8.1785297,Dalits,436.63046,SC,55.378639,79.388504,.33142328,-.68971825,.42979461,-.064800411,.54301304,.15626012,.26280156
ELA23,2010,49,1649.8599,60,1.2244898,Middle,105,Vanniyar,57.14286,16.498598,-.61070263,-.48669833,-.12569426,-.059608646,-.45994261,-.05845442,-.13917232
ELA23,2016,44.683544,1329.0414,77.599998,1.7366571,Middle,167.21519,Vanniyar,46.407265,13.290414,-.43395609,-.53178895,-.13238715,-.091201462,-.36284682,-.06940759,-.10956681
ELA23,2020,51.847828,0,163,3.1438155,Middle,110.32609,Vanniyar,147.74385,0,-.59557182,-.45694932,-.1601135,.20701286,.10828859,-.11478283,-.028226908
ELA24,2010,65,1961.5385,159,2.4461539,Dalits,406,SC,39.16256,19.615385,.24440548,-.31955889,-.11919204,-.11252125,.086221352,-.047813293,-.068554796
ELA24,2016,108.22785,2143.1472,113.9,1.0524093,Dalits,254.30379,SC,44.788952,5.0572042,-.18654691,.13200852,-.11540333,-.095963851,-.16258667,-.097516865,-.14911932
ELA24,2020,21.997282,28222.4,257.5,11.705991,Dalits,337.17392,SC,76.370087,151.90367,.048878096,-.76877451,.42866004,-.0030265728,.62962693,.40383658,.46670419
ELA25,2016,37.341774,7657.0586,104.3,2.7931185,Middle,212.34177,Vanniyar,49.118931,23.573082,-.30575642,-.60848266,-.00037253581,-.083221547,-.21554802,-.034301188,-.048498727
