"","HHID_panel","index2010","index2016","index2020","cluster1","cluster2","cluster3","cluster4","cluster5","cluster6"
"209","MAN32",0.24235184,0.20445044,0.36720204,2,3,2,1,1,1
"210","MAN33",0.21282224,0,0.0030383007,1,2,1,3,3,3
"211","MAN34",0.043478258,0.52191538,0.35834441,3,1,3,2,2,2
"212","MAN37",0.16957961,0,0.22611205,2,3,2,1,1,1
"213","MAN38",0.10582097,0,0,1,2,1,3,3,3
"214","MAN39",0.20089795,0.05919661,0.36860529,2,3,2,1,1,1
"215","MAN41",0.15265627,0.058040977,0.57101119,2,3,2,1,1,1
"216","MAN42",0.15719694,0.014850931,0,1,2,1,3,3,3
"217","MAN43",0.37275237,0.27390996,0.14156075,3,1,3,2,2,2
"218","MAN44",0.082285717,0.4096719,0.0088443477,3,1,3,2,2,2
"219","MAN45",0.011494737,0.12251172,0.19991572,2,1,3,2,1,2
"220","MAN46",0,0.050428219,0.60960454,2,3,2,1,1,1
"221","MAN47",0.13291314,0.085118264,0.11348762,1,2,1,3,3,3
"222","MAN49",0.093345113,0.14043061,0.52355486,2,3,2,1,1,1
"223","MAN5",0.028487638,0.024966987,0.10428041,1,2,1,3,3,3
"224","MAN50",0.021333333,0.24122189,0.11361082,3,1,3,2,2,2
"225","MAN52",0.21800001,0.080276087,0.065904543,1,2,1,3,3,3
"226","MAN8",0.082156777,0.19205281,0.33778965,2,3,2,1,1,1
"227","MAN9",0.023283582,0,0.031245148,1,2,1,3,3,3
"228","MANAM1",0.058536582,0.016003411,0,1,2,1,3,3,3
"229","MANAM10",0.0051612901,0.037088197,0.0040090666,1,2,1,3,3,3
"230","MANAM13",0.093446396,0,0.41550994,2,3,2,1,1,1
"231","MANAM14",0.018470768,0.069041684,0.2,2,1,2,1,1,1
"232","MANAM15",0.0029833333,0,0.099882513,1,2,1,3,3,3
"233","MANAM16",0.031716194,0,0.012924118,1,2,1,3,3,3
"234","MANAM17",0.086033329,0.10344931,0.067659855,1,2,1,3,3,3
"235","MANAM2",0.017142858,0.00074235082,0.087050281,1,2,1,3,3,3
"236","MANAM20",0.0081147831,0.19466834,0.14011812,3,1,3,2,2,2
"237","MANAM21",0.0063526318,0,0.23075977,2,3,2,1,1,1
"238","MANAM22",0.012,0,0.062390298,1,2,1,3,3,3
"239","MANAM23",0.1390902,0.1308859,0.29151812,2,3,2,1,1,1
"240","MANAM24",0.022103846,0.10404249,0.0043913429,1,2,1,3,3,3
"241","MANAM25",0.026764443,0.016152717,0.050424606,1,2,1,3,3,3
"242","MANAM26",0.0075000003,0.01035398,0.14681502,1,2,1,3,3,3
"243","MANAM28",0.13905726,0,0.075374313,1,2,1,3,3,3
"244","MANAM3",0.0055813952,0.26599976,0.29731262,2,1,3,2,1,2
"245","MANAM30",0.043367058,0.013478599,0.21924341,2,2,2,1,1,1
"246","MANAM31",0.007807143,0.048210673,0.2,2,2,2,1,1,1
"247","MANAM32",0.028032878,0.0201657,0.18257245,1,2,1,3,3,3
"248","MANAM33",0.0052092308,0,0.57121056,2,3,2,1,1,1
"249","MANAM36",0.015000001,0,0.40000001,2,3,2,1,1,1
"250","MANAM37",0.083867654,0,0.0025986924,1,2,1,3,3,3
"251","MANAM38",0.21412653,0,0.027269881,1,2,1,3,3,3
"252","MANAM39",0.074158333,0.1779384,0.19177064,2,1,3,2,2,2
"253","MANAM4",0.0039466666,0,0.28686112,2,3,2,1,1,1
"254","MANAM41",0.051866669,0,0.11431766,1,2,1,3,3,3
