HHID_panel,pca2index2010,m2index2010,pca2index2016,m2index2016,pca2index2020,m2index2020
KUV23,36.791599,51.309185,48.885395,104.84394,39.074715,26.755611
KUV26,25.859272,5.4621458,30.211527,24.696278,36.197845,13.177989
KUV27,34.290565,37.352325,27.968063,7.2379379,38.811729,32.612991
KUV28,26.391788,5.6159296,36.812408,56.472271,30.169168,3.5569355
KUV29,27.966185,8.9417562,20.778475,-.84140646,48.002583,71.928963
KUV30,33.716248,31.832561,28.023247,22.833565,25.400421,-.033740044
KUV31,26.375359,7.6898828,25.860884,18.844057,23.249832,-12.041152
KUV32,24.4018,3.0286491,35.165401,37.83448,22.9251,-14.436696
KUV34,26.595123,4.2700286,50.89703,94.585068,39.296082,17.386511
KUV35,33.054855,29.0217,26.109533,21.052963,18.522757,-5.6857405
KUV37,25.831392,6.6851063,25.300009,9.4396486,36.931442,36.257271
KUV38,27.412922,9.2907534,17.201073,-9.6272202,22.877506,-5.0240488
KUV39,33.219234,25.467566,30.79315,22.750957,38.900852,20.769127
KUV4,28.147442,7.0648484,43.887966,68.541771,21.533823,-10.857656
KUV40,26.61371,-.042545166,32.739559,32.182964,47.137417,54.055462
KUV41,34.541592,28.933619,27.527233,14.856766,48.098579,50.430111
KUV43,21.043709,-6.9882731,19.173048,2.2665136,33.166195,14.301167
KUV44,21.976095,-5.4692917,23.893826,6.8027053,42.03981,18.98926
KUV46,41.999981,60.610893,22.094709,2.06656,33.582561,25.772409
KUV47,25.371105,.91205192,32.823658,25.182343,40.794262,51.713989
KUV50,29.335855,20.06402,29.529184,13.945168,18.08301,-9.8516102
KUV52,31.562729,14.385212,32.926132,34.724846,30.613667,11.440701
KUV6,26.729742,7.9993382,31.466091,36.666763,33.568329,1.3300915
KUV7,32.099586,32.58923,26.624096,15.430366,33.506943,4.4665222
KUV9,28.18721,15.216209,26.019869,9.250926,35.645897,19.909473
MAN1,21.185211,-1.7503872,29.212877,13.414866,47.015404,82.24868
MAN10,26.542437,-.16715488,34.463333,40.026306,44.719109,64.933929
MAN12,27.146658,3.4589171,23.986418,8.4382048,34.613289,24.345175
MAN13,27.268768,3.0333335,37.64912,48.3302,31.234638,3.617933
MAN14,19.240824,-4.9472165,21.844366,-16.588326,30.442825,23.534119
MAN15,28.960676,16.727823,63.381409,90.223206,38.422493,42.106712
MAN16,32.530312,33.392258,24.992094,9.6074581,38.174545,24.789425
MAN17,30.620874,1.1831053,35.372643,48.288765,26.411057,5.2831292
MAN18,22.519512,.0079171294,23.565182,-1.9672048,37.858521,27.949724
MAN19,40.165531,47.195652,34.362328,38.799183,53.71159,88.264366
MAN2,32.890564,23.60495,30.65556,8.6517334,22.263599,.83810598
