"","HHID_panel","year","dsr_std","dar_std","tdr_std","afm_std","dailyincome_pc_std","assets_pc_std","lapc_std","dailyincome_pc_std","assets_pc_std","dsr_std","dar_std","afm_std","tdr_std","lapc_std","clust"
"100","ELA41",2016,0.042214632,-0.82816803,-0.45677617,0.10743968,-0.86696714,-0.4046284,-0.091648802,-0.86696714,-0.4046284,0.042214632,-0.82816803,0.10743968,-0.45677617,-0.091648802,"2"
"101","ELA41",2020,0.89026821,-0.16436882,0.031012766,0.16116506,-0.80081344,-0.53503746,-0.014647253,-0.80081344,-0.53503746,0.89026821,-0.16436882,0.16116506,0.031012766,-0.014647253,"3"
"102","ELA42",2010,0.044504553,-0.57753164,0.90413749,-0.5572983,-0.51042706,0.50752801,-0.5215134,-0.51042706,0.50752801,0.044504553,-0.57753164,-0.5572983,0.90413749,-0.5215134,"3"
"103","ELA42",2016,0.30139962,1.300772,-0.45677617,-0.37587526,-0.70195228,-0.52106202,0.96950227,-0.70195228,-0.52106202,0.30139962,1.300772,-0.37587526,-0.45677617,0.96950227,"4"
"104","ELA42",2020,0.17319535,0.052514847,1.9370563,-0.026980558,0.18323983,-0.13500741,0.45418435,0.18323983,-0.13500741,0.17319535,0.052514847,-0.026980558,1.9370563,0.45418435,"3"
"105","ELA43",2010,-0.13544664,0.12454913,0.75567418,-0.47627917,-0.11980349,0.42139906,-0.11607158,-0.11980349,0.42139906,-0.13544664,0.12454913,-0.47627917,0.75567418,-0.11607158,"3"
"106","ELA43",2016,0.1126144,0.044810928,-0.45677617,-1.4344544,-0.015437205,0.29534516,1.6473745,-0.015437205,0.29534516,0.1126144,0.044810928,-1.4344544,-0.45677617,1.6473745,"4"
"107","ELA43",2020,-0.4321197,0.60872716,-0.45677617,-0.82980853,0.39644751,0.57071835,0.29067299,0.39644751,0.57071835,-0.4321197,0.60872716,-0.82980853,-0.45677617,0.29067299,"4"
"108","ELA44",2010,1.0315876,-0.66400832,-0.45677617,-0.32482308,-0.93492573,0.41173637,-0.46077847,-0.93492573,0.41173637,1.0315876,-0.66400832,-0.32482308,-0.45677617,-0.46077847,"2"
"109","ELA44",2016,-0.56797653,-0.33327451,-0.45677617,-0.2387739,-0.056410879,-0.69459248,-0.76306373,-0.056410879,-0.69459248,-0.56797653,-0.33327451,-0.2387739,-0.45677617,-0.76306373,"2"
"110","ELA44",2020,-0.49548846,-0.98656511,1.7368273,1.1655284,-0.4217051,-0.55023533,-0.60164851,-0.4217051,-0.55023533,-0.49548846,-0.98656511,1.1655284,1.7368273,-0.60164851,"3"
"111","ELA45",2010,-0.4754554,-0.70166194,-0.45677617,-0.13836208,-0.49425665,0.1373893,-0.62712979,-0.49425665,0.1373893,-0.4754554,-0.70166194,-0.13836208,-0.45677617,-0.62712979,"2"
"112","ELA45",2016,0.19323593,-0.48805264,-0.45677617,-0.34075961,-0.78139895,0.36983189,-0.37338009,-0.78139895,0.36983189,0.19323593,-0.48805264,-0.34075961,-0.45677617,-0.37338009,"2"
"113","ELA45",2020,0.35520014,-0.27626088,1.2322472,-0.19443642,-0.61324543,0.16781616,-0.11948471,-0.61324543,0.16781616,0.35520014,-0.27626088,-0.19443642,1.2322472,-0.11948471,"3"
